Building Name,Room,Registrar Code,Floor,Area,Capacity,Room Type,Controlled by Registrar,Used,"Media
Control",Players,Inputs,VDC,Voice Amplification,Projector,"Screen
Type",Screen Width,Video Display,Zoom Capable,Podcasting,iclicker,Close Caption Decoder/ Assisted Listening Devices (By Request),Network
Applied Physics and Mathematics,2301,APM 2301,2,564,39,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,8',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Catalyst,CT0125,CTL 0125,01,3608,348,Lecture Hall,Yes,Yes,Touchscreen with Annotation,"Blu-Ray Disc player, separate
VHS Player available upon request
","HDMI
USB C
iPod/MP3
Wireless Video
",Yes,"Wireless
",High Definition,Electric,"14' 7""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Center Hall,101,CENTR 101,1,3428,295,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,16',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Center Hall,105,CENTR 105,1,1622,146,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,14',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Center Hall,109,CENTR 109,1,1644,147,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,14',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Center Hall,113,CENTR 113,1,1619,146,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,14',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Center Hall,115,CENTR 115,1,2143,196,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,14',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Center Hall,119,CENTR 119,1,2144,196,Lecture Hall,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
Blu-Ray Disc player, separate
","VGA with audio
HDMI
iPod/MP3
",Yes,Wired (,High Definition,Electric,16',N/A,"Zoom Capable Room
Camera and Microphone
","Audio (lapel or over-the-ear mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Center Hall,201,CENTR 201,2,454,30,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","VGA with audio
HDMI
iPod/MP3
",Yes,None,High Definition,Electric,"7' 10""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
Center Hall,202,CENTR 202,2,255,15,Classroom,Yes,Yes,Touchscreen,"VHS/DVD/CD combo deck
","HDMI
USB C
iPod/MP3
",Yes,None,High Definition,Electric,"6' 8""",N/A,"Zoom Capable Room
Camera and Microphone
","Audio (ceiling mic)
Screen
Tracking camera
",Yes,Yes,"Ethernet
Wireless
"
